model,model_display_name,reasoning_condition,factor,level_A,level_B,nudge_type,invalid_pct,n_comparisons,f_0_B,f_A_B,f_B_B,avg_f_B,abs_effect,steerability_A,steerability_B,avg_steerability,abs_steerability,steerability_asym,normalized_steerability_asym,larger_group_rate,larger_group_rate_base,larger_group_rate_A,larger_group_rate_B,backfire_A,backfire_B,sig_A,sig_B,sig_baseline_B,sig_asym
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,emotional,0.0,125,0.552,0.14,0.884,0.512,0.372,2.011345317045351,1.808115222156498,1.9097302696009244,1.9097302696009244,-0.2032300948888528,-0.05307016296640331,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,emotional,0.0,125,0.6,0.384,0.784,0.5840000000000001,0.2,0.8744564446826597,0.8786563729503176,0.8765564088164887,0.8765564088164887,0.004199928267657915,0.002382109769524802,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,few_shot,0.0,125,0.564,0.052,0.996,0.524,0.47200000000000003,3.123853105857049,4.857618639256672,3.9907358725568605,3.9907358725568605,1.7337655333996231,0.216951969386579,,,,,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,few_shot,0.0,125,0.592,0.504,0.66,0.5820000000000001,0.07800000000000004,0.3547855674014789,0.28973265921011165,0.32225911330579526,0.32225911330579526,-0.06505290819136722,-0.09939052198460997,,,,,False,False,True,False,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,role_play,0.0,125,0.564,0.556,0.56,0.558,0.00599999999999995,0.03233515746548998,-0.016183200010743914,0.008075978727373034,0.02425917873811695,-0.0485183574762339,-0.8291134537728385,,,,,False,True,False,False,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,role_play,0.0,125,0.584,0.536,0.668,0.6020000000000001,0.06600000000000006,0.19416543101611783,0.35829836235605494,0.2762318966860864,0.2762318966860864,0.16413293133993712,0.29181066101322034,,,,,False,False,False,False,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,survey_preference,0.0,125,0.56,0.168,0.964,0.566,0.3979999999999999,1.830626933124478,2.9953857066701395,2.413006319897309,2.413006319897309,1.1647587735456615,0.24085106063641887,,,,,False,False,True,True,False,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,survey_preference,0.0,125,0.596,0.564,0.74,0.6519999999999999,0.088,0.13086242652216223,0.6537671450573844,0.3923147857897733,0.3923147857897733,0.5229047185352222,0.6580484004588505,,,,,False,False,False,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,user_preference,0.0,125,0.568,0.292,0.808,0.55,0.258,1.1542770294248703,1.1565842618749653,1.155430645649918,1.155430645649918,0.002307232450095009,0.000994127679557621,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,user_preference,0.0,125,0.552,0.42,0.788,0.604,0.18399999999999997,0.5293822376783444,1.0981398264562972,0.8137610320673208,0.8137610320673208,0.5687575887779528,0.34732819864538206,,,,,False,False,True,True,False,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,virtue_appeal,0.0,125,0.54,0.108,0.936,0.522,0.41400000000000003,2.2549265197390054,2.494394096621892,2.3746603081804487,2.3746603081804487,0.23946757688288667,0.050315495883946126,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,virtue_appeal,0.0,125,0.608,0.112,0.948,0.53,0.418,2.4921310622011132,2.430369890160889,2.461250476181001,2.461250476181001,-0.061761172040224466,-0.012521269156704208,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_neg,nonOld,old,weak_evidence,0.0,125,0.56,0.32,0.836,0.578,0.258,0.9906700801150466,1.3788383443095469,1.1847542122122967,1.1847542122122967,0.38816826419450023,0.16312960282473726,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_neg,nonOld,old,weak_evidence,0.0,125,0.58,0.46,0.76,0.61,0.15000000000000005,0.48116624405333336,0.8255436958345339,0.6533549699439336,0.6533549699439336,0.34437745178120055,0.26154389919052956,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,emotional,0.0,125,0.42,0.088,0.904,0.496,0.40800000000000003,1.996555767428459,2.5455369610678336,2.2710463642481464,2.2710463642481464,0.5489811936393745,0.12059973870978705,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,emotional,0.0,125,0.476,0.216,0.828,0.522,0.306,1.1867712493938636,1.6580608818223685,1.422416065608116,1.422416065608116,0.47128963242850497,0.1650848844228622,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,few_shot,0.0,125,0.388,0.016,0.98,0.498,0.482,3.5494364076830203,4.252397044019601,3.90091672585131,3.90091672585131,0.7029606363365803,0.0899866389475274,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,few_shot,0.0,125,0.488,0.3,0.624,0.46199999999999997,0.16199999999999998,0.7956885123004488,0.5522740498310036,0.6739812810657262,0.6739812810657262,-0.2434144624694452,-0.1792497593507901,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,role_play,0.0,125,0.412,0.38,0.52,0.45,0.07000000000000003,0.13326292105815357,0.433980036906489,0.28362147898232126,0.28362147898232126,0.30071711584833544,0.520954152318572,,,,,False,False,False,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,role_play,0.0,125,0.508,0.428,0.516,0.472,0.043999999999999984,0.32071939616240736,0.03189140982854019,0.17630540299547376,0.17630540299547376,-0.2888279863338672,-0.7965233841957752,,,,,False,False,False,False,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,survey_preference,0.0,125,0.388,0.184,0.752,0.46799999999999997,0.284,1.0272674738660954,1.55777963916916,1.2925235565176276,1.2925235565176276,0.5305121653030647,0.20443257567010398,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,survey_preference,0.0,125,0.492,0.344,0.616,0.48,0.136,0.6108909477371439,0.5025262965233088,0.5567086221302264,0.5567086221302264,-0.1083646512138351,-0.09645984318602097,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,user_preference,0.0,125,0.42,0.184,0.648,0.41600000000000004,0.232,1.1596505291941197,0.9291405834513344,1.0443955563227272,1.0443955563227272,-0.23050994574278527,-0.10982986556114933,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,user_preference,0.0,125,0.484,0.12,0.736,0.428,0.308,1.9144043929145456,1.084214134177763,1.4993092635461542,1.4993092635461542,-0.8301902587367826,-0.27593736170305494,,,,,False,False,True,True,False,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,virtue_appeal,0.0,125,0.392,0.044,0.864,0.454,0.41,2.5990983336123423,2.273739271274654,2.436418802443498,2.436418802443498,-0.3253590623376885,-0.06663319337347046,,,,,False,False,True,True,True,False
