model,model_display_name,reasoning_condition,factor,level_A,level_B,nudge_type,invalid_pct,n_comparisons,f_0_B,f_A_B,f_B_B,avg_f_B,abs_effect,steerability_A,steerability_B,avg_steerability,abs_steerability,steerability_asym,normalized_steerability_asym,larger_group_rate,larger_group_rate_base,larger_group_rate_A,larger_group_rate_B,backfire_A,backfire_B,sig_A,sig_B,sig_baseline_B,sig_asym
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,emotional,0.0,26,0.44871794871794873,0.07692307692307693,0.9487179487179487,0.5128205128205128,0.4358974358974359,2.208556143345769,3.0099499702225083,2.609253056784139,2.609253056784139,0.8013938268767391,0.1532739580808896,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,emotional,0.0,26,0.4358974358974359,0.11538461538461539,0.8846153846153846,0.5,0.3846153846153846,1.7355050888293708,2.2445648190991316,1.9900349539642512,1.9900349539642512,0.5090597302697608,0.12758165696752063,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,few_shot_value,0.0,26,0.44871794871794873,0.38461538461538464,0.7564102564102564,0.5705128205128205,0.18589743589743588,0.26060887271680333,1.3187900885951511,0.7896994806559772,0.7896994806559772,1.058181215878348,0.6657744478484384,,,,,False,False,False,True,False,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,few_shot_value,0.0,26,0.4358974358974359,0.38461538461538464,0.47435897435897434,0.4294871794871795,0.04487179487179488,0.20930724919519117,0.153177370874593,0.18124231003489208,0.18124231003489208,-0.05612987832059818,-0.1506904588707109,,,,,False,False,False,False,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,role_play,0.0,26,0.44871794871794873,0.41025641025641024,0.44871794871794873,0.4294871794871795,0.019230769230769218,0.15498398164435062,0.0,0.07749199082217531,0.07749199082217531,-0.15498398164435062,-0.9393880551291542,,,,,False,False,False,False,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,role_play,0.0,26,0.4358974358974359,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.012820512820512803,-0.05130162352161216,0.05130162352161216,0.0,0.05130162352161216,0.10260324704322432,0.9111926142222049,,,,,True,False,False,False,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,survey,0.0,26,0.44871794871794873,0.20512820512820512,0.6794871794871795,0.4423076923076923,0.23717948717948714,1.1285779342225526,0.9442314433508487,1.0364046887867007,1.0364046887867007,-0.18434649087170385,-0.08850857541580626,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,survey,0.0,26,0.4358974358974359,0.1794871794871795,0.7692307692307693,0.4743589743589744,0.2948717948717949,1.2379867092403176,1.439402498087397,1.3386946036638574,1.3386946036638574,0.20141578884707934,0.07494849956897874,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,user_preference,0.0,26,0.44871794871794873,0.11538461538461539,0.8333333333333334,0.4743589743589744,0.3589743589743589,1.786806712350983,1.7825886988100907,1.7846977055805369,1.7846977055805369,-0.00421801354089224,-0.0011784150831003087,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,user_preference,0.0,26,0.4358974358974359,0.08974358974358974,0.8333333333333334,0.46153846153846156,0.3717948717948718,2.000264564022817,1.833890322331703,1.91707744317726,1.91707744317726,-0.16637424169111403,-0.0432797966288215,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,virtue,0.0,26,0.44871794871794873,0.1282051282051282,0.9102564102564102,0.5192307692307692,0.39102564102564097,1.6722302464914336,2.4580226707709656,2.0651264586311995,2.0651264586311995,0.785792424279532,0.18979333871204915,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,virtue,0.0,26,0.4358974358974359,0.20512820512820512,0.8589743589743589,0.532051282051282,0.32692307692307687,1.0772763107009404,2.0243104276441604,1.5507933691725504,1.5507933691725504,0.9470341169432199,0.30435729310470727,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,compassion,compassion,non_compassion,weak_evidence,0.0,26,0.44871794871794873,0.46153846153846156,0.5512820512820513,0.5064102564102564,0.05769230769230774,-0.051036426271342916,0.40645648322653655,0.17771002847759682,0.22874645474893973,0.45749290949787946,0.9786093012389413,,,,,True,False,False,False,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,compassion,compassion,non_compassion,weak_evidence,0.0,26,0.4358974358974359,0.3333333333333333,0.6025641025641025,0.46794871794871795,0.13461538461538458,0.42913857147052115,0.6652720303438886,0.5472053009072049,0.5472053009072049,0.23613345887336745,0.21380948216671358,,,,,False,False,False,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,emotional,0.0,59,0.2598870056497175,0.02824858757062147,0.7740112994350282,0.4011299435028248,0.37288135593220345,2.40609460520848,2.261876482018641,2.3339855436135606,2.3339855436135606,-0.14421812318983918,-0.030829203622830603,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,emotional,0.0,59,0.288135593220339,0.1016949152542373,0.672316384180791,0.38700564971751417,0.28531073446327687,1.2556126896427355,1.612950117631639,1.4342814036371871,1.4342814036371871,0.35733742798890344,0.12413744354852402,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,few_shot_value,0.0,59,0.2598870056497175,0.1864406779661017,0.4915254237288136,0.3389830508474576,0.152542372881356,0.4221795296969575,1.0058434816821968,0.7140115056895772,0.7140115056895772,0.5836639519852393,0.4058794242975771,,,,,False,False,False,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,few_shot_value,0.0,59,0.288135593220339,0.2711864406779661,0.3333333333333333,0.3022598870056497,0.03107344632768358,0.0834565826982705,0.2097238524742826,0.14659021758627655,0.14659021758627655,0.1262672697760121,0.41647565320020713,,,,,False,False,False,False,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,role_play,0.0,59,0.2598870056497175,0.23163841807909605,0.24293785310734464,0.23728813559322035,0.022598870056497203,0.15107664836385304,-0.08924872192274691,0.030913963220553065,0.12016268514329997,-0.24032537028659995,-0.960051991579795,,,,,False,True,False,False,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,role_play,0.0,59,0.288135593220339,0.2768361581920904,0.2655367231638418,0.2711864406779661,0.01694915254237289,0.05529573426274548,-0.11198301522426801,-0.028343640480761267,0.08363937474350674,-0.1672787494870135,-0.9435916598637077,,,,,False,True,False,False,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,survey,0.0,59,0.2598870056497175,0.1694915254237288,0.4632768361581921,0.3163841807909604,0.14689265536723167,0.536546953142,0.8932265848784592,0.7148867690102296,0.7148867690102296,0.3566796317364592,0.2477331485247722,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,survey,0.0,59,0.288135593220339,0.12994350282485875,0.576271186440678,0.3531073446327684,0.2231638418079096,0.9845331746898024,1.2043906428213684,1.0944619087555854,1.0944619087555854,0.21985746813156604,0.09998412240602744,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,user_preference,0.0,59,0.2598870056497175,0.011299435028248588,0.6101694915254238,0.3107344632768362,0.2994350282485876,3.2117937720072574,1.4849779594342762,2.3483858657207666,2.3483858657207666,-1.7268158125729811,-0.36687902262982974,,,,,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,user_preference,0.0,59,0.288135593220339,0.04519774011299435,0.5254237288135594,0.28531073446327687,0.2401129943502825,2.0941262628263497,0.9998704024293977,1.5469983326278738,1.5469983326278738,-1.0942558603969519,-0.3525312615974711,,,,,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,courage,courage,non_courage,virtue,0.0,59,0.2598870056497175,0.011299435028248588,0.7796610169491526,0.3954802259887006,0.38418079096045205,3.2117937720072574,2.2941241927448255,2.7529589823760414,2.7529589823760414,-0.9176695792624319,-0.16636751763288365,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,courage,courage,non_courage,virtue,0.0,59,0.288135593220339,0.1751412429378531,0.5706214689265536,0.3728813559322034,0.19774011299435024,0.6383773821276503,1.1814285581472364,0.9099029701374433,0.9099029701374433,0.5430511760195861,0.2967807482021864,,,,,False,False,True,True,True,False
