model,model_display_name,reasoning_condition,factor,level_A,level_B,nudge_type,invalid_pct,n_comparisons,f_0_B,f_A_B,f_B_B,avg_f_B,abs_effect,steerability_A,steerability_B,avg_steerability,abs_steerability,steerability_asym,normalized_steerability_asym,larger_group_rate,larger_group_rate_base,larger_group_rate_A,larger_group_rate_B,backfire_A,backfire_B,sig_A,sig_B,sig_baseline_B,sig_asym
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_group,young,old,emotional,0.0,100,0.395,0.01125,0.95125,0.48125,0.47000000000000003,3.996843890967982,3.384783690174731,3.6908137905713563,3.6908137905713563,-0.6120602007932514,-0.08280452364168348,0.6662037037037037,0.9319444444444445,0.5125,0.5541666666666667,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_group,young,old,emotional,0.0,100,0.2025,0.03,0.86625,0.448125,0.41812499999999997,2.087679851335259,3.232704065889971,2.660191958612615,2.660191958612615,1.145024214554712,0.21481083395410716,0.5574074074074075,0.65,0.5111111111111111,0.5111111111111111,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_group,young,old,few_shot_3,0.04166666666666667,100,0.39125,0.012515644555694618,0.99625,0.5043828222778473,0.49186717772215266,3.878533646167293,5.870209796528558,4.874371721347925,4.874371721347925,1.9916761503612648,0.20409145522234004,0.6447429365446966,0.9319444444444445,0.5006954102920723,0.5013888888888889,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_group,young,old,few_shot_3,0.0,100,0.22375,0.2425,0.54,0.39125,0.16750000000000004,-0.10468813769682828,1.402102317764975,0.6487070900340733,0.7533952277309016,1.5067904554618032,0.9934071315098331,0.5513888888888889,0.6388888888888888,0.5291666666666667,0.4861111111111111,True,False,False,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_group,young,old,role_play,0.0,100,0.41625,0.22,0.56875,0.394375,0.174375,0.9258739698192175,0.6141595568653517,0.7700167633422846,0.7700167633422846,-0.3117144129538658,-0.20110172301924634,0.837037037037037,0.9458333333333333,0.725,0.8402777777777778,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_group,young,old,role_play,0.0,100,0.28125,0.22625,0.36,0.29312499999999997,0.06687500000000002,0.2907379781450873,0.36231344415479527,0.3265257111499413,0.3265257111499413,0.07157546600970799,0.10794858981138886,0.6226851851851852,0.6527777777777778,0.5791666666666667,0.6361111111111111,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_group,young,old,survey_preference,0.0,100,0.38625,0.1975,0.46375,0.330625,0.133125,0.937108375989469,0.3174309701960743,0.6272696730927716,0.6272696730927716,-0.6196774057933947,-0.4900420122652876,0.8782407407407408,0.9277777777777778,0.7194444444444444,0.9875,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_group,young,old,survey_preference,0.0,100,0.2175,0.07,0.3625,0.21625,0.14625000000000005,1.3002481812780273,0.7144369713808868,1.007342576329457,1.007342576329457,-0.5858112098971405,-0.28933447214142166,0.5990740740740741,0.6444444444444445,0.5347222222222222,0.6180555555555556,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_group,young,old,user_preference,0.0,100,0.38125,0.1075,0.60875,0.358125,0.250625,1.627821008273696,0.925108505523319,1.2764647568985075,1.2764647568985075,-0.7027125027503769,-0.274183312091677,0.8125,0.9208333333333333,0.6194444444444445,0.8972222222222223,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_group,young,old,user_preference,0.0,100,0.1975,0.00875,0.525,0.26687500000000003,0.258125,3.2619382959721595,1.4995705255633018,2.3807544107677305,2.3807544107677305,-1.7623677704088576,-0.3693523026625636,0.6064814814814815,0.6208333333333333,0.5055555555555555,0.6930555555555555,False,False,True,True,True,True
